Year,Country,ISO Code,Crypto_Adoption_Rank,On-chain value received,Financial_Closedness,Mobile_Connectivity,Inflation,Banking_Concentration_5,Value_per_Capita_K,legal,regulation
2023,Thailand,THA,10,6,0.17,76.64,1.27492169842496,68.51317,7.251101192134381,0.0,4.0
2023,Tunisia,TUN,55,92,1.25,63.47,7.18154722475788,82.132565,0.6762235311260982,0.0,0.0
2023,Uganda,UGA,43,57,-1.2,42.05,6.74801516641013,88.4866,0.1887845972571638,2.0,3.0
2023,Ukraine,UKR,5,10,1.94,69.4,19.8744638522736,78.28004,0.0,2.0,3.0
2023,United States,USA,4,2,-2.28,90.57,3.59839135535658,49.67525,182.83938924078512,2.0,8.0
2023,Venezuela,VEN,45,34,1.94,58.67,367.889226487606,92.4715,0.1400994165117702,0.0,2.0
2023,Vietnam,VNM,3,3,0.17,72.86,2.09339091583757,48.33713,2.294584779205455,0.0,0.0
2023,South Africa,ZAF,31,45,1.25,69.83,4.72230243263523,99.33505,14.857233617018773,2.0,7.0
2023,Zambia,ZMB,120,132,-2.28,44.16,7.09462960303757,91.41039,0.3643042941303749,2.0,2.0
2023,Zimbabwe,ZWE,103,120,0.17,41.38,768.477177864533,100.0,0.2903024959221487,0.0,3.0
